frecuency;magnitude;;;
427002112.676056;-96.4447479248047;;;
427045070.422535;-96.6376266479492;;;
427088028.169014;-95.9943771362305;;;
427130985.915493;-96.540397644043;;;
427173943.661972;-97.6110000610352;;;
427216901.408451;-96.8272857666016;;;
427259859.15493;-96.3498382568359;;;
427302816.901408;-96.1767578125;;;
427345774.647887;-96.6918106079102;;;
427388732.394366;-94.9295196533203;;;
427431690.140845;-96.2236251831055;;;
427474647.887324;-97.2168807983398;;;
427517605.633803;-96.647819519043;;;
427560563.380282;-96.8641204833984;;;
427603521.126761;-96.1647338867188;;;
427646478.873239;-96.600212097168;;;
427689436.619718;-99.0752563476563;;;
427732394.366197;-98.7005920410156;;;
427775352.112676;-96.5737533569336;;;
427818309.859155;-99.0507583618164;;;
427861267.605634;-95.1366653442383;;;
427904225.352113;-95.3741989135742;;;
427947183.098592;-97.0184631347656;;;
427990140.84507;-97.7621688842773;;;
428033098.591549;-96.0157623291016;;;
428076056.338028;-97.3852920532227;;;
428119014.084507;-94.3220138549805;;;
428161971.830986;-94.8752136230469;;;
428204929.577465;-96.4696731567383;;;
428247887.323944;-99.1372146606445;;;
428290845.070423;-98.3204498291016;;;
428333802.816901;-95.9579467773438;;;
428376760.56338;-97.0242614746094;;;
428419718.309859;-95.1028137207031;;;
428462676.056338;-96.0550537109375;;;
428505633.802817;-97.6109924316406;;;
428548591.549296;-97.4593276977539;;;
428591549.295775;-95.3548202514648;;;
428634507.042253;-96.6136322021484;;;
428677464.788732;-94.2682113647461;;;
428720422.535211;-95.9071807861328;;;
428763380.28169;-97.0112380981445;;;
428806338.028169;-94.2597198486328;;;
428849295.774648;-95.3299331665039;;;
428892253.521127;-97.2264785766602;;;
428935211.267606;-97.7313842773438;;;
428978169.014085;-95.0060272216797;;;
429021126.760563;-95.6684875488281;;;
429064084.507042;-93.9998779296875;;;
429107042.253521;-95.7434463500977;;;
429150000;-95.7091979980469;;;
429192957.746479;-93.6830062866211;;;
429235915.492958;-95.5366744995117;;;
429278873.239437;-98.9134674072266;;;
429321830.985915;-97.8719635009766;;;
429364788.732394;-95.2041625976563;;;
429407746.478873;-95.4749984741211;;;
429450704.225352;-95.5641860961914;;;
429493661.971831;-97.5982971191406;;;
429536619.71831;-96.697380065918;;;
429579577.464789;-94.9487380981445;;;
429622535.211268;-94.7591857910156;;;
429665492.957747;-95.062141418457;;;
429708450.704225;-95.9336929321289;;;
429751408.450704;-96.7454299926758;;;
429794366.197183;-96.1694793701172;;;
429837323.943662;-95.4953079223633;;;
429880281.690141;-95.0287704467773;;;
429923239.43662;-96.0839157104492;;;
429966197.183099;-94.9242706298828;;;
430009154.929577;-94.4470138549805;;;
430052112.676056;-94.2141189575195;;;
430095070.422535;-95.5295944213867;;;
430138028.169014;-97.3434829711914;;;
430180985.915493;-95.9759063720703;;;
430223943.661972;-97.8694229125977;;;
430266901.408451;-95.9878921508789;;;
430309859.15493;-96.0467910766602;;;
430352816.901408;-95.2786331176758;;;
430395774.647887;-95.6407623291016;;;
430438732.394366;-96.9344787597656;;;
430481690.140845;-95.2256698608398;;;
430524647.887324;-94.4907684326172;;;
430567605.633803;-94.4248657226563;;;
430610563.380282;-93.7388153076172;;;
430653521.126761;-93.9033737182617;;;
430696478.873239;-93.0610504150391;;;
430739436.619718;-94.2898788452148;;;
430782394.366197;-94.8693695068359;;;
430825352.112676;-93.8240280151367;;;
430868309.859155;-96.2717895507813;;;
430911267.605634;-97.5915451049805;;;
430954225.352113;-94.8091201782227;;;
430997183.098592;-95.6793670654297;;;
431040140.84507;-96.1259689331055;;;
431083098.591549;-93.5696640014648;;;
431126056.338028;-95.0262069702148;;;
431169014.084507;-94.6827239990234;;;
431211971.830986;-95.8545608520508;;;
431254929.577465;-95.041618347168;;;
431297887.323944;-93.9567260742188;;;
431340845.070423;-95.3602905273438;;;
431383802.816901;-97.634895324707;;;
431426760.56338;-95.2978210449219;;;
431469718.309859;-92.739372253418;;;
431512676.056338;-95.4558334350586;;;
431555633.802817;-95.1664047241211;;;
431598591.549296;-97.2437286376953;;;
431641549.295775;-99.9370803833008;;;
431684507.042253;-97.9264602661133;;;
431727464.788732;-96.2861251831055;;;
431770422.535211;-95.7542114257813;;;
431813380.28169;-95.8620758056641;;;
431856338.028169;-94.4782791137695;;;
431899295.774648;-93.7195434570313;;;
431942253.521127;-93.4427947998047;;;
431985211.267606;-94.61669921875;;;
432028169.014085;-94.279182434082;;;
432071126.760563;-93.9036254882813;;;
432114084.507042;-94.9141998291016;;;
432157042.253521;-95.6504287719727;;;
432200000;-96.6335525512695;;;
432242957.746479;-95.6985855102539;;;
432285915.492958;-96.6564559936523;;;
432328873.239437;-97.013786315918;;;
432371830.985915;-96.1083068847656;;;
432414788.732394;-93.7987670898438;;;
432457746.478873;-90.2145538330078;;;
432500704.225352;-90.8274688720703;;;
432543661.971831;-92.251220703125;;;
432586619.71831;-94.7770385742188;;;
432629577.464789;-95.8915557861328;;;
432672535.211268;-93.9981079101563;;;
432715492.957747;-94.1599960327148;;;
432758450.704225;-94.450569152832;;;
432801408.450704;-94.1873321533203;;;
432844366.197183;-95.3811569213867;;;
432887323.943662;-94.6660614013672;;;
432930281.690141;-95.1493682861328;;;
432973239.43662;-96.4570693969727;;;
433016197.183099;-94.9972381591797;;;
433059154.929577;-94.8463897705078;;;
433102112.676056;-95.5101547241211;;;
433145070.422535;-94.4828720092773;;;
433188028.169014;-94.8983840942383;;;
433230985.915493;-96.6045837402344;;;
433273943.661972;-97.575325012207;;;
433316901.408451;-95.2669296264648;;;
433359859.15493;-95.0507659912109;;;
433402816.901408;-95.4541778564453;;;
433445774.647887;-96.2176971435547;;;
433488732.394366;-97.039306640625;;;
433531690.140845;-97.471435546875;;;
433574647.887324;-95.9163208007813;;;
433617605.633803;-94.5832138061523;;;
433660563.380282;-95.0479431152344;;;
433703521.126761;-96.4194412231445;;;
433746478.873239;-94.085334777832;;;
433789436.619718;-91.4863739013672;;;
433832394.366197;-93.2081069946289;;;
433875352.112676;-95.3105926513672;;;
433918309.859155;-95.144172668457;;;
433961267.605634;-95.3080902099609;;;
434004225.352113;-94.771728515625;;;
434047183.098592;-92.417366027832;;;
434090140.84507;-91.5585327148438;;;
434133098.591549;-91.7880477905273;;;
434176056.338028;-90.902717590332;;;
434219014.084507;-91.9736328125;;;
434261971.830986;-94.4160995483398;;;
434304929.577465;-94.2653961181641;;;
434347887.323944;-94.0890350341797;;;
434390845.070423;-92.2414398193359;;;
434433802.816901;-91.6303482055664;;;
434476760.56338;-93.124137878418;;;
434519718.309859;-92.8187866210938;;;
434562676.056338;-91.1860656738281;;;
434605633.802817;-90.9771881103516;;;
434648591.549296;-90.4861297607422;;;
434691549.295775;-88.9938888549805;;;
434734507.042253;-88.6851119995117;;;
434777464.788732;-88.4642028808594;;;
434820422.535211;-89.8216857910156;;;
434863380.28169;-91.4812469482422;;;
434906338.028169;-89.8140106201172;;;
434949295.774648;-89.5553131103516;;;
434992253.521127;-90.1021347045898;;;
435035211.267606;-87.2540054321289;;;
435078169.014085;-86.5580368041992;;;
435121126.760563;-86.1285400390625;;;
435164084.507042;-86.6682510375977;;;
