frecuency;magnitude;;;
431656338.028169;-97.5391387939453;;;
431673239.43662;-95.6855010986328;;;
431690140.84507;-97.7622985839844;;;
431707042.253521;-94.3664169311523;;;
431723943.661972;-95.1123123168945;;;
431740845.070423;-94.7174377441406;;;
431757746.478873;-97.2162551879883;;;
431774647.887324;-96.3088226318359;;;
431791549.295775;-96.7614059448242;;;
431808450.704225;-97.5479888916016;;;
431825352.112676;-98.0050659179688;;;
431842253.521127;-96.4222183227539;;;
431859154.929577;-96.1495132446289;;;
431876056.338028;-94.9650192260742;;;
431892957.746479;-96.4973068237305;;;
431909859.15493;-98.9534454345703;;;
431926760.56338;-95.5656967163086;;;
431943661.971831;-96.5442504882813;;;
431960563.380282;-95.9661865234375;;;
431977464.788732;-95.8290557861328;;;
431994366.197183;-93.5591125488281;;;
432011267.605634;-94.1235656738281;;;
432028169.014085;-93.0916213989258;;;
432045070.422535;-95.2704162597656;;;
432061971.830986;-94.2163925170898;;;
432078873.239437;-95.6747665405273;;;
432095774.647887;-93.6940689086914;;;
432112676.056338;-93.1934356689453;;;
432129577.464789;-92.2148666381836;;;
432146478.873239;-94.1889953613281;;;
432163380.28169;-94.3290481567383;;;
432180281.690141;-94.677001953125;;;
432197183.098592;-95.2406616210938;;;
432214084.507042;-97.3892822265625;;;
432230985.915493;-94.1340179443359;;;
432247887.323944;-95.0330581665039;;;
432264788.732394;-98.2676239013672;;;
432281690.140845;-94.7514877319336;;;
432298591.549296;-93.9400024414063;;;
432315492.957747;-97.6736907958984;;;
432332394.366197;-96.968147277832;;;
432349295.774648;-95.7389144897461;;;
432366197.183099;-96.6409454345703;;;
432383098.591549;-96.4936218261719;;;
432400000;-97.4799041748047;;;
432416901.408451;-97.6783981323242;;;
432433802.816901;-94.8979949951172;;;
432450704.225352;-95.6260452270508;;;
432467605.633803;-95.3534622192383;;;
432484507.042253;-96.6322402954102;;;
432501408.450704;-97.1854782104492;;;
432518309.859155;-95.078254699707;;;
432535211.267606;-96.8463363647461;;;
432552112.676056;-96.9807052612305;;;
432569014.084507;-98.2971038818359;;;
432585915.492958;-97.4590682983398;;;
432602816.901408;-97.8799133300781;;;
432619718.309859;-95.736328125;;;
